티커,종목명,섹터,바구니,구글심볼,기준종가,가격일,투자점수,판정,건전성등급,건전성점수,신뢰도,가격관측치,재무경과일,수정주가,최근공시일,핵심배수,거래비용bp,감시시작,채점일,매매기간성향,매력도,최근의견
AAPL,Apple,소비자·소프트웨어,테크·소프트웨어·반도체,AAPL,319.7,2026-08-28,7.5,중립 상단,B,75,0.908,1000,33,수정주가,2026-07-31,PER 36.1배 · 베타 1.09,1.3316,2026-08-28,2026-08-28,장기보유형,A,
ATI,ATI Inc,항공우주·방위,항공우주·방위·산업재,ATI,210.76,2026-08-28,5.5,중립 하단,C,60,0.967,1000,125,수정주가,2026-04-30,P/S 6.4배 · P/E 68.9배 · 영업마진 14.3% · 건전성 C 60,19.1392,2026-08-29,2026-08-29,중립,C,
AVAV,AeroVironment,항공우주·방위,항공우주·방위·산업재,AVAV,147.94,2026-08-28,6,중립,C,65,0.88,1000,65,수정주가,2026-06-29,P/S 4.6배 · 적자 — P/E 없음 · 영업마진 -16.4% · 건전성 C 65,28.9843,2026-08-29,2026-08-29,중립,B,
BE,Bloom Energy,전력·에너지,전력·에너지,BE,210.77,2026-08-28,5.5,중립 하단,B,75,0.713,100,36,종가만,2026-07-28,EV/영업이익 75배,7.4031,2026-08-28,2026-08-28,중립,C,
BKR,Baker Hughes,전력·에너지,전력·에너지,BKR,62.41,2026-08-28,6.5,중립,B,70,0.754,100,37,종가만,2026-07-27,조정PER 24.3배 · 배당 1.48%,6.0132,2026-08-28,2026-08-28,장기보유형,B,
BWXT,BWX Technologies,전력·에너지,전력·에너지,BWXT,152.85,2026-08-28,6.5,중립,B,80,0.754,100,30,종가만,2026-08-03,PER 40.4배,11.5977,2026-08-26,2026-08-28,장기보유형,A,
COHR,Coherent,AI 인프라,금융·인프라,COHR,279.2,2026-08-28,5.5,중립 하단,B,71,0.754,100,19,종가만,2026-08-14,PER 71.7배 · FCF −$1.02B,7.4861,2026-08-28,2026-08-28,중립,B,
COIN,Coinbase Global,금융,금융·인프라,COIN,178.64,2026-08-28,4.5,고위험 투기,B,80,0.96,1000,34,수정주가,2026-07-30,선행 PER 165.9배 · 베타 3.36,6.8489,2026-08-28,2026-08-28,중립,D,
CRSP,CRISPR Therapeutics,헬스케어,헬스케어·바이오·정밀계측,CRSP,57.72,2026-08-28,5.5,중립 하단,C,62,0.754,100,30,종가만,2026-08-03,런웨이 6.3년,24.4217,2026-08-27,2026-08-28,중립,B,
ETN,Eaton Corp plc,전력·에너지,항공우주·방위·산업재,ETN,401.88,2026-08-31,6.4,중립,F,27,0.785,100,33,수정주가,2026-07-31,P/S 3.5배 · P/E 27.3배 · 영업마진 17.7% · 건전성 F 27,5.7426,2026-09-01,2026-09-02,중립,C,
GLW,Corning,AI 인프라,금융·인프라,GLW,148.98,2026-08-28,6.5,중립,B,80,0.754,100,35,종가만,2026-07-29,PER 70.5배 · 선행 41.3배,6.7858,2026-08-28,2026-08-28,중립,B,
HOOD,Robinhood Markets,금융,금융·인프라,HOOD,104.26,2026-08-28,7,중립 상단,B,72,0.754,100,34,종가만,2026-07-30,PER 49배,5.5365,2026-08-26,2026-08-28,중립,A,
IONQ,IonQ,AI 인프라,금융·인프라,IONQ,39.2,2026-08-28,5,중립 하단,C,62,0.754,100,23,종가만,2026-08-10,EV/매출 53배,10.1251,2026-08-26,2026-08-28,중립,B,
JNJ,Johnson & Johnson,헬스케어,헬스케어·바이오·정밀계측,JNJ,268.04,2026-08-28,7,중립,A,85,0.713,100,41,종가만,2026-07-23,PER 30.8배 · 선행 23.7배 · 배당 2.02%,2.228,2026-08-28,2026-08-28,장기보유형,A,
LEU,Centrus Energy,전력·에너지,전력·에너지,LEU,175.78,2026-08-28,4,고위험 투기,D,40,0.754,100,27,종가만,2026-08-06,EV/영업이익 143배,24.9115,2026-08-28,2026-08-28,중립,D,
LHX,L3Harris Technologies,항공우주·방위,항공우주·방위·산업재,LHX,266.25,2026-08-31,5.3,중립 하단,F,31,0.785,100,34,수정주가,2026-07-30,P/S 2.2배 · P/E 27.2배 · 영업마진 10.0% · 건전성 F 31,5.8688,2026-09-01,2026-09-02,중립,D,
LLY,Eli Lilly and Co,헬스케어,헬스케어·바이오·정밀계측,LLY,1156.73,2026-08-31,7.1,중립 상단,D,45,0.681,50,28,수정주가,2026-08-05,P/S 13.0배 · P/E 38.7배 · 영업마진 43.9% · 건전성 D 45,,2026-09-01,2026-09-02,중립,B,
MDT,Medtronic plc,헬스케어,헬스케어·바이오·정밀계측,MDT,91.23,2026-08-28,6.7,중립,C,56,0.894,1000,190,수정주가,2026-02-24,P/S 3.3배 · P/E 25.4배 · 영업마진 17.0% · 건전성 C 56,3.9774,2026-08-29,2026-08-29,중립,B,
MRK,Merck & Co.,헬스케어,헬스케어·바이오·정밀계측,MRK,148.35,2026-08-28,6,중립,C,67,0.713,100,26,종가만,2026-08-07,선행 PER 17.4배 · 배당 2.27%,3.7132,2026-08-26,2026-08-28,중립,B,
MRVL,Marvell Technology,반도체,테크·소프트웨어·반도체,MRVL,216.62,2026-08-28,6,중립 하단,B,82,0.955,1000,97,수정주가,2026-05-28,PER 81.1배 · 선행 46.4배 · 베타 2.25,8.0433,2026-08-28,2026-08-28,중립,B,
MUFG,미쓰비시UFJ FG,금융,금융·인프라,MUFG,22.9,2026-08-28,7.5,중립 상단,,,0.401,100,,종가만,,PER 14.7배 · 배당 2.72%,14.7417,2026-08-26,2026-08-28,중립,B,
NEE,NextEra Energy,전력·에너지,전력·에너지,NEE,81.84,2026-08-28,7,중립 상단,F,22,0.754,100,40,종가만,2026-07-24,조정PER 21.0배 · 배당 2.99%,3.4374,2026-08-28,2026-08-28,중립,B,
NRIX,Nurix Therapeutics,헬스케어,헬스케어·바이오·정밀계측,NRIX,26.04,2026-09-01,3.8,투기적,A,100,0.72,50,55,수정주가,2026-07-09,P/S 78.3배 · 적자 — P/E 없음 · 영업마진 -982.4% · 건전성 A 100,,2026-09-02,2026-09-02,중립,D,
NTRA,Natera,헬스케어,헬스케어·바이오·정밀계측,NTRA,326.26,2026-08-28,6.5,중립,B,72,0.754,100,26,종가만,2026-08-07,EV/매출 16.6배,11.4912,2026-08-27,2026-08-28,중립,B,
NVTS,Navitas Semiconductor,반도체,테크·소프트웨어·반도체,NVTS,11.49,2026-08-28,4,고위험 투기,B,75,0.754,100,37,종가만,2026-07-27,EV/매출 79배 · 베타 3.88,22.3436,2026-08-27,2026-08-28,중립,D,
OKLO,Oklo Inc,전력·에너지,전력·에너지,OKLO,40.57,2026-08-31,3.2,투기적,A,100,0.743,100,26,수정주가,2026-08-07,P/S 5812.0배 · 적자 — P/E 없음 · 영업마진 -18003.6% · 건전성 A 100,14.1683,2026-09-01,2026-09-02,중립,D,
ON,onsemi,반도체,테크·소프트웨어·반도체,ON,72.61,2026-08-28,7,중립 상단,A,90,0.754,100,30,종가만,2026-08-03,선행 PER 19.3배,8.4452,2026-08-26,2026-08-28,단기추세형,S,
PANW,Palo Alto Networks,소비자·소프트웨어,테크·소프트웨어·반도체,PANW,371.59,2026-08-28,6,중립,B,71,0.754,100,91,종가만,2026-06-03,EV/조정FCF 71.5배,4.3577,2026-08-28,2026-08-28,중립,B,
PLUG,Plug Power,전력·에너지,전력·에너지,PLUG,2.19,2026-08-28,3,투기적,F,25,0.754,100,23,종가만,2026-08-10,마진 −0.9% · 런웨이 2.7분기,21.1992,2026-08-26,2026-08-28,중립,C,
PSNL,Personalis Inc,헬스케어,헬스케어·바이오·정밀계측,PSNL,17.06,2026-09-01,3.4,투기적,C,67,0.66,50,29,수정주가,2026-08-04,P/S 27.4배 · 적자 — P/E 없음 · 영업마진 -158.9% · 건전성 C 67,,2026-09-02,2026-09-02,단기추세형,D,
PTC,PTC Inc.,소비자·소프트웨어,테크·소프트웨어·반도체,PTC,157.15,2026-08-28,6.8,중립 상단,C,56,0.974,1000,118,수정주가,2026-05-07,P/S 6.2배 · P/E 미사용(일회성 이익 포함) · 영업마진 38.7% · 건전성 C 56,10.0011,2026-08-29,2026-08-29,중립,B,
QCOM,QUALCOMM,반도체,테크·소프트웨어·반도체,QCOM,164.19,2026-08-28,6.3,중립,B,73,0.946,1000,35,수정주가,2026-07-29,P/S 4.0배 · P/E 미사용(일회성 이익 포함) · 영업마진 25.5% · 건전성 B 73,4.3378,2026-08-29,2026-08-29,장기보유형,B,
QS,QuantumScape,전력·에너지,전력·에너지,QS,5.61,2026-08-28,3.5,투기적,C,65,0.664,100,40,종가만,2026-07-24,매출 $0 · 런웨이 2.9년,22.2517,2026-08-26,2026-08-28,중립,D,
RMBS,Rambus,반도체,테크·소프트웨어·반도체,RMBS,85.76,2026-08-28,7,중립 상단,A,94,0.754,100,36,종가만,2026-07-28,EV/매출 11.8~13.3배,19.2388,2026-08-27,2026-08-28,중립,S,
SPCX,Space Exploration Technologies,AI 인프라,금융·인프라,SPCX,140.87,2026-08-27,6,중립,A,97,0.571,49,29,수정주가,2026-08-04,EV/매출 56배,3.2087,2026-08-26,2026-08-28,중립,B,
TWST,Twist Bioscience,헬스케어,헬스케어·바이오·정밀계측,TWST,139,2026-08-31,5.5,중립 하단,A,92,0.785,100,30,수정주가,2026-08-03,P/S 20.1배 · 적자 — P/E 없음 · 영업마진 -31.9% · 건전성 A 92,25.0872,2026-09-01,2026-09-02,단기추세형,C,
VRT,Vertiv Holdings,AI 인프라,금융·인프라,VRT,257.08,2026-08-28,7,중립,B,80,0.754,100,35,종가만,2026-07-29,PER 44배,5.8873,2026-08-26,2026-08-28,중립,A,
