ticker,name,sector,cik,fye_month,watch_added,list_date,exit_date,status,fin_first,fin_last,fin_quarters,px_first,px_last,px_obs,px_source,periodic_filer,note
AAPL,Apple,soft,0000320193,9,2026-08-28,,,active,2023-12-30,2026-06-27,11,2022-09-02,2026-08-28,1000,long,yes,
AMZN,Amazon.com,soft,0001018724,12,2026-09-03,,,active,2024-03-31,2026-06-30,10,2026-06-24,2026-09-02,50,long,yes,
ATI,ATI Inc,aero,0001018963,12,2026-08-29,,,active,2022-10-02,2026-03-29,19,2022-09-02,2026-08-28,1000,long,yes,
AVAV,AeroVironment,aero,0001368622,4,2026-08-29,,,active,2022-10-29,2026-04-30,15,2022-09-02,2026-08-28,1000,long,yes,
BE,Bloom Energy,power,0001664703,12,2026-08-28,,,active,2020-09-30,2026-06-30,18,2026-06-18,2026-08-27,49,50d,yes,
BKR,Baker Hughes,power,0001701605,12,2026-08-28,,,active,2022-03-31,2026-06-30,17,2026-06-17,2026-08-27,50,50d,yes,
BWXT,BWX Technologies,power,0001486957,12,2026-08-26,,,active,2023-03-31,2026-06-30,14,2026-06-17,2026-08-27,50,50d,yes,
COHR,Coherent,infra,0000820318,6,2026-08-28,,,active,2022-12-31,2026-06-30,15,2026-06-18,2026-08-27,49,50d,yes,
COIN,Coinbase Global,fin,0001679788,12,2026-08-28,,,active,2023-06-30,2026-06-30,13,2022-09-02,2026-08-28,1000,long,yes,
CRCL,Circle Internet Group,fin,0001876042,12,2026-09-03,2025-06-05,,active,2025-06-30,2026-06-30,5,,,0,,yes,IPO(NYSE) — 첫 10-Q 기간 2025-06-30. 이 시점 이전 구간은 SEC 공개기업으로 존재하지 않았음(패널에도 진짜 공개기업 분기 5개만 편입 — 지어낸 분기 없음)
CRSP,CRISPR Therapeutics,heal,0001674416,12,2026-08-27,,,active,2023-03-31,2026-06-30,13,2026-06-18,2026-08-27,49,50d,yes,
ETN,Eaton Corp plc,power,0001551182,12,2026-09-01,,,active,2022-09-30,2026-06-30,16,2026-04-09,2026-08-31,100,long,yes,
GLW,Corning,infra,0000024741,12,2026-08-28,,,active,2024-03-31,2026-06-30,10,2026-06-18,2026-08-27,49,50d,yes,
