ticker,date,open,high,low,close,volume,updated_at,source,stale
AAPL,2026-09-02,326.8650,328.4000,323.5300,324.9600,33776370,2026-09-03T15:46:34.122000+00:00,alphavantage,false
AMZN,2026-09-02,254.2550,256.2400,253.4000,254.9800,24013334,2026-09-03T15:46:34.122000+00:00,alphavantage,false
ATI,2026-09-02,202.4600,204.9800,198.4600,201.6900,1921694,2026-09-03T15:46:34.122000+00:00,alphavantage,false
AVAV,2026-09-02,144.1000,147.1600,140.9100,145.3900,1529962,2026-09-03T15:46:34.122000+00:00,alphavantage,false
BE,2026-09-02,210.0000,217.2981,204.3000,217.2800,9181105,2026-09-03T15:46:34.122000+00:00,alphavantage,false
BKR,2026-09-02,63.0200,65.2650,62.7100,64.6300,5193732,2026-09-03T15:46:34.122000+00:00,alphavantage,false
BWXT,2026-09-02,160.9900,160.9900,154.0000,155.6700,935132,2026-09-03T15:46:34.122000+00:00,alphavantage,false
COHR,2026-09-02,268.1200,272.5000,263.6700,268.6400,4189527,2026-09-03T15:46:34.122000+00:00,alphavantage,false
COIN,2026-09-02,174.3000,178.7221,172.0300,174.9600,5264054,2026-09-03T15:46:34.122000+00:00,alphavantage,false
CRCL,2026-09-02,87.7550,89.6800,85.8700,88.6400,8368578,2026-09-03T15:46:34.122000+00:00,alphavantage,false
CRSP,2026-09-02,57.1300,58.9627,55.5919,56.9200,911120,2026-09-03T15:46:34.122000+00:00,alphavantage,false
ETN,2026-09-02,391.2750,394.8900,386.0000,390.8500,1631294,2026-09-03T15:46:34.122000+00:00,alphavantage,false
GLW,2026-09-02,143.7500,147.6600,142.8200,144.1300,7863701,2026-09-03T15:46:34.122000+00:00,alphavantage,false
GOOGL,2026-09-02,334.0600,340.0000,332.8200,337.1200,22582286,2026-09-03T15:46:34.122000+00:00,alphavantage,false
HOOD,2026-09-02,103.7200,107.4600,101.8900,106.9900,16848770,2026-09-03T15:46:34.122000+00:00,alphavantage,false
INSM,2026-09-02,121.1100,126.7900,121.1100,126.6300,1998834,2026-09-03T15:46:34.122000+00:00,alphavantage,false
IONQ,2026-09-02,37.4200,38.2350,36.7850,37.6400,13313128,2026-09-03T15:46:34.122000+00:00,alphavantage,false
JNJ,2026-09-02,274.7400,281.0700,273.5300,275.2100,7913032,2026-09-03T15:46:34.122000+00:00,alphavantage,false
LEU,2026-09-02,168.0900,174.1700,165.9800,171.4900,608758,2026-09-03T15:46:34.122000+00:00,alphavantage,false
LHX,2026-09-02,264.5000,266.5000,260.1200,261.3100,1412260,2026-09-03T15:46:34.122000+00:00,alphavantage,false
